0	12	92	-1	70	58	4	30	18	-1	-1	61	-1	32	30	46	96	-1	33	53	43	17	40	86	32	88	-1	72	51	41	81	23	-1	7	27	52	1	42	37	21	79	2	-1	10	98	-1	66	1	57	-1	56	-1	-1	19	-1	7	-1	64	90	66	18	97	-1	81	30	93	35	3	22	-1	65	46	54	12	59	38	-1	-1	32	-1	4	21	97	27	-1	38	-1	63	-1	0	77	-1	90	79	-1	81	-1	24	13	32
-1	0	-1	-1	80	1	-1	20	43	86	16	87	64	71	-1	44	-1	-1	89	52	-1	42	34	-1	10	12	-1	38	-1	5	40	3	88	42	-1	32	54	77	-1	45	-1	-1	76	-1	64	85	97	22	16	88	-1	57	97	62	-1	80	40	-1	10	27	94	41	21	-1	-1	27	-1	63	-1	30	-1	-1	-1	91	17	70	97	-1	-1	-1	-1	74	48	38	53	66	37	2	42	56	44	51	58	52	73	65	91	43	-1	82
-1	32	0	-1	65	85	16	-1	83	-1	28	74	93	47	-1	-1	-1	35	82	94	90	3	59	21	-1	39	-1	-1	51	-1	71	38	63	-1	74	-1	18	54	9	-1	10	27	-1	30	90	53	13	29	5	69	-1	-1	-1	-1	5	66	7	49	3	27	44	-1	67	85	-1	28	77	-1	0	83	23	69	60	28	91	36	27	52	3	-1	55	74	49	-1	3	-1	-1	-1	31	99	-1	-1	23	87	-1	90	82	69	63	71
18	-1	6	0	16	93	84	3	-1	33	-1	99	-1	40	96	63	25	-1	50	-1	24	-1	66	-1	60	-1	79	20	23	52	25	89	-1	6	-1	86	-1	42	-1	95	15	51	-1	4	80	67	-1	9	43	52	73	20	60	49	82	92	-1	81	-1	-1	-1	71	93	-1	30	84	-1	32	75	54	74	60	8	36	-1	58	10	71	-1	-1	79	84	54	64	38	77	-1	64	-1	11	98	40	72	97	-1	26	85	47	59	93
-1	67	11	54	0	-1	68	-1	65	14	9	-1	-1	75	58	-1	-1	52	33	85	23	57	24	75	42	-1	46	11	94	-1	19	85	23	20	82	78	6	-1	-1	2	95	-1	85	13	65	46	44	-1	10	69	71	21	65	25	30	38	73	77	51	49	-1	92	-1	-1	70	-1	20	-1	37	-1	93	-1	4	22	-1	28	6	-1	43	-1	62	68	91	38	-1	60	23	63	96	45	-1	80	74	74	-1	-1	38	-1	99	42
67	-1	-1	77	-1	0	35	87	47	73	54	-1	-1	20	4	-1	-1	70	6	-1	-1	51	-1	-1	94	49	75	83	32	94	-1	38	82	-1	-1	54	-1	-1	36	56	19	-1	-1	71	94	-1	-1	8	29	-1	71	76	-1	-1	28	86	-1	-1	-1	9	95	33	-1	70	-1	-1	77	10	99	-1	-1	34	87	67	28	-1	36	-1	0	12	24	11	20	-1	38	41	25	71	85	73	62	55	31	58	2	20	60	74	-1	-1
97	14	58	-1	-1	-1	0	93	14	-1	-1	86	16	-1	78	1	-1	41	41	-1	70	91	31	19	-1	35	36	45	26	1	46	-1	-1	3	32	91	62	-1	29	23	34	80	66	42	30	73	-1	26	-1	89	44	89	80	24	23	20	65	24	45	4	-1	-1	31	37	15	66	26	53	71	-1	41	38	-1	91	56	16	60	93	-1	4	10	33	12	59	0	54	-1	-1	-1	97	-1	-1	81	-1	31	63	-1	57	-1	28
-1	94	-1	4	9	24	42	0	85	25	53	-1	-1	92	-1	90	-1	3	-1	-1	83	91	-1	-1	-1	-1	64	4	-1	45	97	29	81	90	-1	56	-1	48	39	21	55	95	67	26	-1	47	68	4	9	85	55	7	-1	39	43	18	91	15	52	-1	-1	-1	73	81	-1	80	99	36	-1	40	-1	49	23	60	3	24	-1	-1	-1	66	-1	23	34	40	-1	-1	37	65	70	55	11	-1	20	84	45	37	-1	53	85	95
90	43	12	81	0	-1	82	93	0	1	71	-1	56	0	15	55	36	87	-1	-1	-1	89	76	60	-1	10	-1	8	21	-1	54	-1	37	-1	34	-1	76	72	30	-1	-1	21	3	27	13	84	17	83	52	59	54	-1	5	-1	75	33	-1	-1	24	-1	54	-1	74	31	59	63	70	29	16	41	-1	-1	8	-1	8	58	98	15	87	-1	-1	-1	78	26	84	64	18	62	56	79	73	59	-1	35	32	25	-1	-1	-1	-1
63	-1	54	21	-1	-1	-1	91	12	0	26	43	32	-1	-1	-1	54	23	0	53	-1	-1	-1	-1	-1	30	51	-1	35	-1	72	16	25	41	-1	97	72	5	71	60	8	-1	10	80	43	-1	34	32	50	55	-1	-1	17	-1	0	67	48	-1	76	42	88	99	96	32	-1	-1	26	33	71	-1	-1	-1	50	67	83	-1	32	-1	67	80	-1	44	28	19	80	39	-1	71	32	90	89	29	80	9	73	-1	61	43	2	98
